Year,Month,Day,Hour,Minute,Second,HYY_META.T168
2016,1,7,9,0,0,-27.553
2016,1,7,9,30,0,-27.111666
2016,1,7,10,0,0,-27.227333
2016,1,7,10,30,0,-27.2
2016,1,7,11,0,0,-26.671667
2016,1,7,11,30,0,-26.407
2016,1,7,12,0,0,-25.970667
2016,1,7,12,30,0,-25.966
2016,1,7,13,0,0,-25.672
2016,1,7,13,30,0,-25.338667
2016,1,7,14,0,0,-25.227
2016,1,7,14,30,0,-25.161667
2016,1,7,15,0,0,-25.13
2016,1,7,15,30,0,-25.165
2016,1,7,16,0,0,-25.079
2016,1,7,16,30,0,-25.443
2016,1,7,17,0,0,-24.906666
2016,1,7,17,30,0,-24.719334
2016,1,7,18,0,0,-24.685
2016,1,7,18,30,0,-24.635
2016,1,7,19,0,0,-24.293333
2016,1,7,19,30,0,-23.857
2016,1,7,20,0,0,-23.333
2016,1,7,20,30,0,-23.413
2016,1,7,21,0,0,-22.665333
2016,1,7,21,30,0,-22.541334
2016,1,7,22,0,0,-22.215334
2016,1,7,22,30,0,-21.84
2016,1,7,23,0,0,-21.517666
2016,1,7,23,30,0,-21.325
2016,1,8,0,0,0,-21.332666
2016,1,8,0,30,0,-21.786333
2016,1,8,1,0,0,-22.226667
2016,1,8,1,30,0,-22.574
2016,1,8,2,0,0,-23.491333
2016,1,8,2,30,0,-23.201666
2016,1,8,3,0,0,-23.044666
2016,1,8,3,30,0,-22.792
2016,1,8,4,0,0,-22.593334
2016,1,8,4,30,0,-22.332333
2016,1,8,5,0,0,-21.939333
2016,1,8,5,30,0,-21.679333
2016,1,8,6,0,0,-22.504
2016,1,8,6,30,0,-22.625
2016,1,8,7,0,0,-22.880667
2016,1,8,7,30,0,-22.009333
2016,1,8,8,0,0,-22.321333
2016,1,8,8,30,0,-23.149334
2016,1,8,9,0,0,-23.822666
2016,1,8,9,30,0,-23.557
2016,1,8,10,0,0,-22.801666
2016,1,8,10,30,0,-22.960667
2016,1,8,11,0,0,-22.907333
2016,1,8,11,30,0,-21.746334
2016,1,8,12,0,0,-21.593334
2016,1,8,12,30,0,-21.747
2016,1,8,13,0,0,-21.353
2016,1,8,13,30,0,-21.43
2016,1,8,14,0,0,-21.792667
2016,1,8,14,30,0,-21.669666
2016,1,8,15,0,0,-21.274334
2016,1,8,15,30,0,-20.985332
2016,1,8,16,0,0,-20.523333
2016,1,8,16,30,0,-19.597334
2016,1,8,17,0,0,-19.580334
2016,1,8,17,30,0,-19.975666
2016,1,8,18,0,0,-19.948334
2016,1,8,18,30,0,-18.736666
2016,1,8,19,0,0,-18.462
2016,1,8,19,30,0,-18.808
2016,1,8,20,0,0,-18.673666
2016,1,8,20,30,0,-18.629667
2016,1,8,21,0,0,-18.214666
2016,1,8,21,30,0,-18.310667
2016,1,8,22,0,0,-18.132668
2016,1,8,22,30,0,-17.828333
2016,1,8,23,0,0,-17.530333
2016,1,8,23,30,0,-17.256666
2016,1,9,0,0,0,-17.092333
2016,1,9,0,30,0,-16.883667
2016,1,9,1,0,0,-16.693333
2016,1,9,1,30,0,-16.209
2016,1,9,2,0,0,-15.675333
2016,1,9,2,30,0,-15.499333
2016,1,9,3,0,0,-15.611667
2016,1,9,3,30,0,-15.912
2016,1,9,4,0,0,-16.317333
2016,1,9,4,30,0,-17.136333
2016,1,9,5,0,0,-17.561333
2016,1,9,5,30,0,-17.775667
2016,1,9,6,0,0,-17.216667
2016,1,9,6,30,0,-16.765
2016,1,9,7,0,0,-16.527334
2016,1,9,7,30,0,-16.514668
2016,1,9,8,0,0,-16.086334
2016,1,9,8,30,0,-17.032667
2016,1,9,9,0,0,-18.141666
2016,1,9,9,30,0,-18.592333
2016,1,9,10,0,0,-18.432
2016,1,9,10,30,0,-18.265333
2016,1,9,11,0,0,-17.981667
2016,1,9,11,30,0,-17.422
2016,1,9,12,0,0,-17.185
2016,1,9,12,30,0,-16.943333
2016,1,9,13,0,0,-16.522667
2016,1,9,13,30,0,-16.528
2016,1,9,14,0,0,-16.595667
2016,1,9,14,30,0,-16.648666
2016,1,9,15,0,0,-16.938
2016,1,9,15,30,0,-16.626
2016,1,9,16,0,0,-16.688334
2016,1,9,16,30,0,-16.751667
2016,1,9,17,0,0,-16.992332
2016,1,9,17,30,0,-16.920334
2016,1,9,18,0,0,-17.197666
2016,1,9,18,30,0,-17.485
2016,1,9,19,0,0,-17.365334
2016,1,9,19,30,0,-17.374666
2016,1,9,20,0,0,-17.531334
2016,1,9,20,30,0,-17.288666
2016,1,9,21,0,0,-17.692333
2016,1,9,21,30,0,-18.084
2016,1,9,22,0,0,-18.096333
2016,1,9,22,30,0,-18.026667
2016,1,9,23,0,0,-18.326
2016,1,9,23,30,0,-18.397333
2016,1,10,0,0,0,-18.619333
2016,1,10,0,30,0,-18.507
2016,1,10,1,0,0,-18.619333
2016,1,10,1,30,0,-18.658667
