Year,Month,Day,Hour,Minute,Second,HYY_EDDY233.ET_gapf
2016,1,15,0,0,0,0.053
2016,1,15,0,30,0,-0.111
2016,1,15,1,0,0,-0.155
2016,1,15,1,30,0,-0.125
2016,1,15,2,0,0,-0.148
2016,1,15,2,30,0,-0.05
2016,1,15,3,0,0,-0.286
2016,1,15,3,30,0,-0.131
2016,1,15,4,0,0,-0.184
2016,1,15,4,30,0,-0.079
2016,1,15,5,0,0,-0.085
2016,1,15,5,30,0,-0.184
2016,1,15,6,0,0,0.184
2016,1,15,6,30,0,0.162
2016,1,15,7,0,0,-0.063
2016,1,15,7,30,0,0.088
2016,1,15,8,0,0,-0.008
2016,1,15,8,30,0,0.139
2016,1,15,9,0,0,0.344
2016,1,15,9,30,0,0.12
2016,1,15,10,0,0,-0.085
2016,1,15,10,30,0,0.039
2016,1,15,11,0,0,-0.086
2016,1,15,11,30,0,-0.055
2016,1,15,12,0,0,-0.033
2016,1,15,12,30,0,-0.025
2016,1,15,13,0,0,-0.032
2016,1,15,13,30,0,-0.062
2016,1,15,14,0,0,-0.069
2016,1,15,14,30,0,-0.1
2016,1,15,15,0,0,-0.038
2016,1,15,15,30,0,-0.077
2016,1,15,16,0,0,-0.121
2016,1,15,16,30,0,0.019
2016,1,15,17,0,0,0.064
2016,1,15,17,30,0,0.114
2016,1,15,18,0,0,0.069
2016,1,15,18,30,0,-0.001
2016,1,15,19,0,0,0.012
2016,1,15,19,30,0,0.029
2016,1,15,20,0,0,0.068
2016,1,15,20,30,0,0.081
2016,1,15,21,0,0,0.085
2016,1,15,21,30,0,0.09
2016,1,15,22,0,0,0.107
2016,1,15,22,30,0,0.144
2016,1,15,23,0,0,0.183
2016,1,15,23,30,0,0.224
2016,1,16,0,0,0,0.174
2016,1,16,0,30,0,0.206
2016,1,16,1,0,0,0.222
2016,1,16,1,30,0,0.215
2016,1,16,2,0,0,0.229
2016,1,16,2,30,0,0.215
2016,1,16,3,0,0,0.21
2016,1,16,3,30,0,0.2
2016,1,16,4,0,0,0.193
2016,1,16,4,30,0,0.138
2016,1,16,5,0,0,0.091
2016,1,16,5,30,0,0.087
2016,1,16,6,0,0,0.053
2016,1,16,6,30,0,0.048
2016,1,16,7,0,0,0.026
2016,1,16,7,30,0,0.042
2016,1,16,8,0,0,0.084
2016,1,16,8,30,0,0.118
2016,1,16,9,0,0,0.077
2016,1,16,9,30,0,0.108
2016,1,16,10,0,0,0.184
2016,1,16,10,30,0,0.231
2016,1,16,11,0,0,0.3
2016,1,16,11,30,0,0.335
2016,1,16,12,0,0,0.319
2016,1,16,12,30,0,0.3
2016,1,16,13,0,0,0.295
2016,1,16,13,30,0,0.238
2016,1,16,14,0,0,0.214
2016,1,16,14,30,0,0.205
2016,1,16,15,0,0,0.171
2016,1,16,15,30,0,0.164
2016,1,16,16,0,0,0.188
2016,1,16,16,30,0,0.227
2016,1,16,17,0,0,0.232
2016,1,16,17,30,0,0.237
2016,1,16,18,0,0,0.231
2016,1,16,18,30,0,0.234
2016,1,16,19,0,0,0.219
2016,1,16,19,30,0,0.23
2016,1,16,20,0,0,0.214
2016,1,16,20,30,0,0.197
2016,1,16,21,0,0,0.176
2016,1,16,21,30,0,0.184
2016,1,16,22,0,0,0.171
2016,1,16,22,30,0,-0.083
2016,1,16,23,0,0,0.219
2016,1,16,23,30,0,0.19
2016,1,17,0,0,0,0.161
2016,1,17,0,30,0,-0.1
2016,1,17,1,0,0,-0.066
2016,1,17,1,30,0,0.165
2016,1,17,2,0,0,-0.013
2016,1,17,2,30,0,-0.16
2016,1,17,3,0,0,0.172
2016,1,17,3,30,0,0.169
2016,1,17,4,0,0,0.125
2016,1,17,4,30,0,0.103
2016,1,17,5,0,0,0.066
2016,1,17,5,30,0,0.087
2016,1,17,6,0,0,0.128
2016,1,17,6,30,0,0.122
2016,1,17,7,0,0,0.143
2016,1,17,7,30,0,-0.294
2016,1,17,8,0,0,0.075
2016,1,17,8,30,0,0.04
2016,1,17,9,0,0,0.056
2016,1,17,9,30,0,0.097
2016,1,17,10,0,0,0.151
2016,1,17,10,30,0,0.216
2016,1,17,11,0,0,0.271
2016,1,17,11,30,0,0.314
2016,1,17,12,0,0,0.325
2016,1,17,12,30,0,0.335
2016,1,17,13,0,0,0.014
2016,1,17,13,30,0,0.015
2016,1,17,14,0,0,-0.037
2016,1,17,14,30,0,-0.026
2016,1,17,15,0,0,-0.006
2016,1,17,15,30,0,-0.085
2016,1,17,16,0,0,-0.058
2016,1,17,16,30,0,-0.062
2016,1,17,17,0,0,-0.018
2016,1,17,17,30,0,-0.064
2016,1,17,18,0,0,-0.054
2016,1,17,18,30,0,-0.071
2016,1,17,19,0,0,-0.053
2016,1,17,19,30,0,-0.059
