Datenum RHTd Global Event NonEvent
729998 NaN NaN 0 1
729999 NaN NaN 1 0
730003 70.3823529411765 NaN 0 1
730005 63.6884210526316 NaN 0 1
730006 75.3062962962963 NaN 0 1
730007 70.7112 NaN 0 1
730008 97.6284615384616 NaN 0 1
730010 79.8544 NaN 0 1
730011 76.7764 NaN 0 1
730012 60.37 NaN 0 1
730013 93.3208333333333 NaN 0 1
730014 79.7556 NaN 0 1
730015 87.1296 NaN 0 1
730017 95.0352 NaN 0 1
730020 63.83 NaN 1 0
730021 64.2504347826087 NaN 1 0
730022 51.9017391304348 NaN 1 0
730023 79.5726086956522 NaN 0 1
730025 81.3886363636364 NaN 0 1
730029 64.6254545454545 NaN 1 0
730032 75.1923809523809 NaN 0 1
730033 54.6461904761905 NaN 1 0
730034 66.6938095238095 NaN 1 0
730039 98.863125 NaN 0 1
730040 98.579 NaN 0 1
730041 95.6465 NaN 0 1
730049 90.0844444444444 NaN 0 1
730050 94.2784615384615 NaN 0 1
730051 97.8070588235294 NaN 0 1
730053 NaN NaN 0 1
730054 94.038 NaN 0 1
730055 90.8982352941177 NaN 0 1
730056 75.2717647058824 NaN 0 1
730058 90.4276470588235 NaN 0 1
730059 85.335 NaN 0 1
730060 92.706875 NaN 0 1
730061 88.6975 NaN 0 1
730062 91.8163636363636 NaN 0 1
730063 95.771875 NaN 0 1
730064 96.5325 NaN 0 1
730065 96.88 NaN 0 1
730066 86.9226666666667 NaN 0 1
730067 95.1293333333333 NaN 0 1
730073 89.2464285714286 NaN 0 1
730074 92.4478571428571 NaN 0 1
730075 89.5757142857143 NaN 0 1
730076 93.5884615384615 NaN 0 1
730077 96.4491666666667 NaN 0 1
730078 96.3969230769231 NaN 0 1
730079 94.826 NaN 0 1
730084 97.0146153846154 NaN 0 1
730087 NaN NaN 0 1
730096 93.5972727272727 NaN 0 1
730097 90.59 NaN 0 1
730098 92.8354545454546 NaN 0 1
730100 96.93 NaN 0 1
730102 96.1736363636363 NaN 0 1
730109 96.56 NaN 0 1
730110 97.567 NaN 0 1
730116 NaN NaN 0 1
730119 95.49 NaN 0 1
730123 92.061 NaN 0 1
730124 96.7354545454545 NaN 0 1
730125 97.5863636363636 NaN 0 1
730127 NaN NaN 0 1
730129 96.5683333333333 NaN 0 1
730130 94.4158333333333 NaN 0 1
730132 96.5725 NaN 0 1
730134 93.1408333333333 NaN 0 1
730135 97.0525 NaN 0 1
730136 96.3358333333333 NaN 0 1
730143 98.6821428571428 NaN 0 1
730144 95.2957142857143 NaN 0 1
730146 92.0107142857143 NaN 0 1
730152 97.7406666666667 NaN 0 1
730154 94.53 NaN 0 1
730155 96.97 NaN 0 1
730161 92.13125 NaN 0 1
730165 96.5611764705883 NaN 0 1
730167 81.0076470588236 NaN 0 1
730168 95.8961111111111 NaN 0 1
730170 95.6766666666667 NaN 0 1
730172 97.2788888888889 NaN 0 1
730173 96.7347368421053 NaN 0 1
730174 94.1284210526316 NaN 0 1
730175 91.9057894736842 NaN 0 1
730176 91.8326315789474 NaN 0 1
730177 92.9814285714286 NaN 0 1
730179 95.3244444444445 NaN 0 1
730180 98.8027777777778 NaN 0 1
730181 92.328 NaN 0 1
730184 89.5355555555556 NaN 0 1
730185 95.0816666666666 NaN 0 1
730186 94.3784210526316 NaN 0 1
